id_venta,producto,fecha_venta,cantidad,precio_unitario_bs,metodo_pago,cliente,descuento_aplicado,turno,empleado,nivel_satisfaccion,total_bs,tasa_dolar_bs
1,Canilla,2023-05-05,5,80.96,Pago móvil,Fernando Soler Llanos,False,Mañana,Severo,Alto,404.8,47.27
2,De leche,2023-01-14,2,69.85,Efectivo,Bernardino Macías-Rodrigo,False,Noche,Juan José,Medio,139.7,50.44
3,Cachito,2023-03-13,1,33.43,Efectivo,Roberto Lucas Noguera,False,Mañana,Rosaura,Medio,33.43,39.31
4,Golfiao,2023-11-15,4,91.65,Divisas,Simón Rojas Castillo,True,Tarde,Cleto,Alto,329.94,33.19
5,Francés,2023-08-03,2,70.37,Tarjeta,Édgar Herranz-Sans,False,Tarde,Javiera,Muy alto,140.74,31.83
6,Francés,2023-04-18,3,60.44,Pago móvil,Elodia Marisol Abella Ávila,False,Tarde,Rogelio,Muy alto,181.32,46.76
7,Francés,2023-03-31,4,19.99,Tarjeta,Prudencio de Palomino,True,Noche,Trinidad,Alto,71.96,50.33
8,Mojicón,2023-11-24,6,50.23,Efectivo,Hortensia Ramos Gisbert,False,Mañana,Javiera,Bajo,301.38,36.82
9,Pan de jamón,2023-11-05,3,51.43,Tarjeta,Alfonso Acosta-Castilla,False,Mañana,Severo,Medio,154.29,35.82
10,Cachito,2023-10-21,4,87.81,Efectivo,Mercedes Marin Valls,True,Mañana,Rogelio,Muy bajo,316.12,34.06
11,Francés,2023-10-19,3,59.2,Tarjeta,Primitivo Riba,False,Tarde,Javiera,Muy alto,177.6,51.1
12,De leche,2023-07-27,1,44.24,Divisas,Julio César Pascual Ródenas Rivas,False,Mañana,Ulises,Alto,44.24,40.21
13,Mojicón,2023-06-06,1,97.91,nan,Cornelio Menendez,False,Mañana,Rosaura,Alto,97.91,42.6
14,Francés,2023-07-09,2,19.96,Divisas,Rodrigo Murillo Soria,False,Noche,Rogelio,Medio,39.92,45.26
15,Francés,2023-11-18,2,48.03,Divisas,María Luisa Cueto Rius,True,Noche,Ulises,Alto,86.45,53.34
16,Francés,2023-12-05,4,13.78,nan,Eva María Tapia Rosa,True,Mañana,Javiera,Medio,49.61,49.47
17,Canilla,2023-10-16,2,76.59,nan,Roxana Morillo Anglada,True,Mañana,Trinidad,Muy bajo,137.86,49.07
18,Golfiao,2023-11-01,1,92.63,Pago móvil,Eustaquio Soler Gilabert,True,Noche,Odalys,Medio,83.37,39.21
19,Canilla,2023-10-17,2,35.2,Pago móvil,Alonso Martín Duque,False,Mañana,Trinidad,Alto,70.4,47.51
20,Francés,2023-01-24,2,87.25,Divisas,Sofía Ayllón Barral,False,Mañana,Rosaura,Medio,174.5,52.73
21,Pan de jamón,2023-11-12,1,36.3,Divisas,Adoración Villa-Cabeza,False,Mañana,Rogelio,Muy alto,36.3,59.36
22,Francés,2023-08-29,2,91.97,Efectivo,Belén Gargallo Piñol,False,Tarde,Rogelio,Bajo,183.94,41.17
23,Francés,2023-05-17,3,77.86,Efectivo,María Fernanda Garmendia,True,Mañana,Rosaura,Alto,210.22,36.83
24,Canilla,2023-11-26,1,82.44,Pago móvil,Martin Aragón Lucas,False,Noche,Ulises,Alto,82.44,38.75
25,Canilla,2023-04-13,3,11.62,Pago móvil,David Calderón Busquets,False,Tarde,Odalys,Medio,34.86,46.52
26,Cachito,2023-11-28,3,96.65,Efectivo,Cayetana Tomas,False,Tarde,Javiera,Alto,289.95,58.01
27,Francés,2023-07-19,4,75.4,Efectivo,María Pilar Ferrández Lopez,False,Mañana,Severo,Alto,301.6,37.98
28,Golfiao,2023-05-01,2,37.43,Tarjeta,Guadalupe Crespi Tudela,False,Tarde,Trinidad,Alto,74.86,49.7
29,Golfiao,2023-05-21,3,84.65,Tarjeta,Francisca Suárez,False,Tarde,Trinidad,Muy alto,253.95,46.83
30,Francés,2023-11-10,3,35.34,Efectivo,Ángeles Sáez-Pons,False,Tarde,Trinidad,Alto,106.02,40.05
31,Pan de jamón,2023-12-05,4,88.55,Tarjeta,Mario Cerro,False,Tarde,Odalys,Medio,354.2,50.71
32,Francés,2023-10-13,2,20.13,nan,Lucila Feliu Macías,False,Tarde,Severo,Alto,40.26,45.97
33,Francés,2023-07-02,3,73.33,Pago móvil,Elisabet Pi Martínez,False,Noche,Trinidad,Medio,219.99,48.89
34,De leche,2023-11-28,2,58.66,Pago móvil,Calisto Lledó Maestre,False,Noche,Severo,Medio,117.32,58.67
35,De leche,2023-01-31,1,18.69,Efectivo,Teo Villa Franch,False,Tarde,Javiera,Bajo,18.69,54.18
36,Mojicón,2023-05-14,2,31.77,Divisas,Evangelina Nadal Cadenas,False,Mañana,Rogelio,Alto,63.54,43.87
37,Canilla,2023-04-17,2,11.12,Efectivo,María Pilar Vendrell Costa,False,Mañana,Severo,Alto,22.24,66.95
38,Francés,2023-09-06,6,52.19,Tarjeta,Benjamín Valls Chaparro,False,Mañana,Trinidad,Medio,313.14,58.52
39,Pan de jamón,2023-11-05,4,37.11,Divisas,Dorita Polo Jordán,False,Tarde,Ulises,Alto,148.44,62.54
40,Canilla,2023-02-14,1,63.85,Tarjeta,Esmeralda Georgina Lucena Rojas,False,Tarde,Odalys,Muy alto,63.85,43.9
41,Francés,2023-06-11,2,36.75,nan,Bárbara Pino Sánchez,True,Tarde,Rosaura,Bajo,66.15,43.32
42,Canilla,2023-10-02,3,36.99,Tarjeta,Florentino Marcos Coello,False,Noche,Cleto,Medio,110.97,42.85
