ID_Venta,Marca,Tipo_Ropa,Color,Talla,Material,Género,Precio (USD),Cantidad,Cliente,Método_Pago,Fecha_Venta,Descuento (%),Calidad,Total_Venta (USD)
1,Nike,Vestido,Negro,M,Seda,Femenino,119.31,1,Javier María Ugarte Aller,Pago móvil,2023-08-17,0,Baja,119.31
2,Stradivarius,Falda,Morado,S,Lino,Masculino,106.6,2,Lucho Llabrés Salinas,Pago móvil,2023-10-13,0,Media,213.2
3,H&M,Jogger,Gris,S,Mezclilla,Unisex,77.82,1,Ainara Iborra Girona,Transferencia,2023-05-24,0,Media,77.82
4,Levi's,Suéter,Gris,M,Poliéster,Femenino,71.77,3,Leonor Talavera Bru,Efectivo,2023-03-07,0,Alta,215.31
5,Nike,Jeans,Beige,XL,Seda,Femenino,77.51,1,Montserrat Lastra Alarcón,Transferencia,2023-01-11,0,Baja,77.51
6,Tommy Hilfiger,Vestido,Beige,S,Poliéster,Masculino,30.55,3,Tere Roman Piña,Divisas,2023-10-24,0,Premium,91.65
7,Pull&Bear,Short,Amarillo,L,Sintético,Masculino,52.26,1,Trini Jove-Amor,Transferencia,2023-10-28,0,Alta,52.26
8,Nike,Jeans,Morado,S,Lana,Masculino,12.42,2,Amado Alcolea,Tarjeta,2023-08-08,20,Media,19.87
9,H&M,Mono,Morado,XL,Seda,Femenino,61.26,1,Florencio Zapata,Transferencia,2023-01-24,0,Baja,61.26
10,Levi's,Pantalón corto,Blanco,XL,Mezclilla,Femenino,68.82,1,Casemiro de Cuesta,Pago móvil,2023-07-13,5,Media,65.38
11,Stradivarius,Suéter,Beige,L,algodon,Masculino,33.51,1,Trinidad Mesa Agustí,Divisas,2023-07-04,0,Media,33.51
12,H&M,Short,Morado,S,Poliester,Femenino,115.97,2,Sara Gallego,Tarjeta,2023-07-01,0,Media,231.94
13,H&M,Short,Amarillo,XL,mezclilla,Masculino,109.86,1,Jose Luis Carrasco-Pastor,Transferencia,2023-08-26,0,Media,109.86
14,Pull&Bear,Vestido,Marrón,M,LANA,Femenino,88.88,2,Celestina Pedrero Blanca,Divisas,2023-01-17,0,Media,177.76
15,Adidas,Chaqueta,Rojo,XS,seda,Masculino,67.74,3,Ruperto Millán Berrocal,Divisas,2023-11-20,15,Media,172.74
16,Levi's,Falda,Rojo,XS,Sintetico,Femenino,105.44,1,Venceslás Arco-Samper,Tarjeta,2023-11-25,0,Premium,105.44
17,Bershka,Suéter,Marrón,XS,Lino,Masculino,22.63,2,José Antonio Nazaret Santiago Paz,Transferencia,2023-05-28,0,Alta,45.26
18,H&M,Chaqueta,Verde,S,Seda,Femenino,96.54,2,Godofredo Mariscal Laguna,Divisas,2023-03-20,0,Premium,193.08
19,Adidas,Vestido,Amarillo,L,Algodón,Masculino,21.98,1,Félix Estrada Gomila,Divisas,2023-02-24,0,Media,21.98
20,Bershka,Mono,Morado,XL,Sintético,Femenino,96.95,3,Bernabé Santamaría Piñeiro,Efectivo,2023-09-21,0,Media,290.85
21,Levi's,Blusa,azul,M,Mezclilla,Masculino,38.89,2,Mónica Barba-Seco,Divisas,2023-08-14,10,Media,70.0
22,Zara,Camisa,NEGRO,M,Lana,Masculino,106.23,1,Leocadia Rosales Mena,Efectivo,2023-12-04,10,Baja,95.61
23,Tommy Hilfiger,Camisa,gris,S,Algodón,Masculino,113.73,3,Wálter Niño Amigó,Transferencia,2023-04-16,0,Baja,341.19
24,Adidas,Falda,beige,XS,Mezclilla,Masculino,24.67,2,Vicente Gracia,Transferencia,2023-11-14,0,Alta,49.34
25,Mango,Mono,blanco,S,Poliéster,Masculino,59.82,2,José Manuel Royo Jove,Transferencia,2023-11-04,0,Alta,119.64
26,Zara,Falda,Rojo ,L,Mezclilla,Masculino,117.87,3,María Cristina Neira Echeverría,Pago móvil,2023-08-05,0,Media,353.61
27,Tommy Hilfiger,Suéter,Morado,L,Lana,Femenino,62.14,3,Carmelo Quero Peinado,Transferencia,2023-03-02,0,Media,186.42
28,Pull&Bear,Suéter,Beige,XL,Mezclilla,Masculino,104.72,1,Modesto Plana Fajardo,Divisas,2023-04-11,0,Media,104.72
29,Nike,Pantalón de vestir,Beige,XL,Lino,Femenino,73.94,1,Néstor Castelló Gras,Tarjeta,2023-11-01,0,Baja,73.94
30,Stradivarius,Chaqueta,Blanco,L,Lana,Femenino,50.04,2,Julie Sevillano Leal,Efectivo,2023-08-27,0,Media,100.08
31,Mango,Camisa,Marrón,L,Seda,Femenino,40.01,3,Moreno Aliaga Rivas,efectivo,2023-06-18,0,Media,120.03
32,Pull&Bear,Short,Blanco,L,Poliéster,Femenino,30.76,3,Valerio Salgado Quiroga,tarjeta,2023-12-30,0,Baja,92.28
33,Levi's,Chaqueta,Marrón,S,Lino,Masculino,93.32,3,Pepito Bonet Bermudez,Pago Movil,2023-08-23,0,Premium,279.96
34,Pull&Bear,Jogger,Amarillo,L,Seda,Masculino,51.29,2,Jimena Segarra Garrido,Transferncia,2023-01-24,0,Media,102.58
35,Nike,Suéter,Azul,M,Mezclilla,Masculino,65.26,3,Jenaro del Pou,Efectivo,2023-08-11,10,Alta,176.2
36,Levi's,Pantalón corto,Amarillo,XS,Lana,Masculino,63.14,3,María Jesús María Pilar Sanz Barrera,Tarjeta,2023-08-30,0,Media,189.42
37,Mango,Mono,Rosado,L,Poliéster,Femenino,72.66,2,Daniel Maldonado-Cañellas,Efectivo,2023-02-04,0,Media,145.32
38,Nike,Jeans,Rojo,XS,Lino,Femenino,104.94,1,Marciano de Duran,Transferencia,2023-09-29,0,Media,104.94
39,Bershka,Falda,Gris,S,Seda,Femenino,117.84,1,Amor Boix Vizcaíno,Pago móvil,2023-12-15,10,Baja,106.06
40,Stradivarius,Suéter,Marrón,XS,Seda,Femenino,53.65,2,Marcos Esteve Sastre,Divisas,2023-10-23,0,Media,107.3
41,Mango,Chaqueta,Rosado,S,Poliéster,Femenino,0.0,3,Piedad Tomas,Divisas,2023-06-17,0,Alta,302.04
42,Bershka,Pantalón corto,Rojo,M,Sintético,Femenino,200.0,2,Nicolás del Falcó,Pago móvil,2023-02-17,0,Alta,187.26
43,Tommy Hilfiger,Chaqueta,Morado,S,Mezclilla,Masculino,300.0,1,Ema Bermejo,Transferencia,2023-01-13,5,Media,68.63
44,Mango,Jeans,Verde,S,Poliéster,Masculino,-5.0,1,Celso Federico Español Escrivá,Pago móvil,2023-02-21,20,Media,92.06
45,Tommy Hilfiger,Pantalón corto,Azul,XL,Seda,Unisex,1.0,2,Haydée María Jesús Berenguer Camps,Transferencia,2023-07-15,0,Premium,60.9
46,Levi's,Jogger,Blanco,L,Algodón,Unisex,500.0,2,Rocío del Corbacho,Tarjeta,2023-04-05,10,Baja,36.43
47,Bershka,Jeans,Blanco,L,Lino,Masculino,103.64,1,Florina Benavent Palomares,Pago móvil,2023-10-11,15,Media,88.09
48,Stradivarius,Vestido,Amarillo,M,Poliéster,Femenino,57.18,2,Ignacia Lledó-Capdevila,Transferencia,2023-05-03,15,Media,97.21
49,Nike,Leggins,Beige,M,Sintético,Masculino,102.86,1,Bienvenida Gomis Cifuentes,Pago móvil,2023-01-18,0,Alta,102.86
50,H&M,Vestido,Rojo,L,Seda,Masculino,108.03,2,Dalila Larrañaga,Pago móvil,2023-11-12,0,Premium,216.06
51,Pull&Bear,Camisa,Verde,XL,Mezclilla,Femenino,15.0,2,Carlota Torrents Frutos,Transferencia,2023-12-22,0,Media,30.0
52,Zara,Chaqueta,Rosado,L,Seda,Femenino,106.95,2,Rodolfo Galvez Pinedo,Transferencia,2023-10-08,5,Alta,203.2
53,Stradivarius,Suéter,Azul,XL,Mezclilla,Masculino,58.21,1,José Pellicer Gonzalez,Efectivo,2023-12-02,0,Alta,58.21
54,Bershka,Suéter,Rojo,M,Poliéster,Femenino,65.17,2,Reina Clavero Vergara,Pago móvil,2023-10-29,0,Media,130.34
55,H&M,Suéter,Verde,XS,Mezclilla,Masculino,78.18,1,Guadalupe Delgado Ribera,Divisas,2023-09-06,0,Media,78.18
56,Stradivarius,Leggins,Gris,M,Lana,Masculino,111.75,1,Socorro María José Martin Cases,Pago móvil,2023-07-31,5,Media,106.16
57,Bershka,Vestido,Marrón,M,Lana,Femenino,10.14,2,Marc Marí Pedrero,Pago móvil,2023-04-22,10,Premium,18.25
58,Adidas,Leggins,Blanco,S,Lana,Femenino,61.41,2,Guadalupe Fabiola Mercader Cruz,Transferencia,2023-07-28,0,Media,122.82
59,Adidas,Blusa,Rosado,S,Sintético,Femenino,85.02,1,Marisol Mayo Vilanova,Pago móvil,2023-09-15,10,Alta,76.52
60,Tommy Hilfiger,Chaqueta,Blanco,S,Sintético,Femenino,88.94,1,Vasco Calleja Campos,Pago móvil,2023-09-10,0,Media,88.94
61,Stradivarius,Leggins,Rosado,S,Algodón,Femenino,85.56,3,Brunilda Oliveras-Pavón,Divisas,2023-11-09,10,Alta,231.01
62,Adidas,Short,Amarillo,XL,Sintético,Masculino,23.06,1,Danilo Navarro Cifuentes,Transferencia,2023-04-27,0,Media,23.06
63,Bershka,Falda,Beige,L,Poliéster,Femenino,41.53,3,Osvaldo Novoa Villaverde,Pago móvil,2023-07-28,0,Media,124.59
64,Tommy Hilfiger,Falda,Rosado,XS,Seda,Masculino,48.18,3,Evita Salas,Tarjeta,2023-11-09,15,Alta,122.86
65,Bershka,Short,Blanco,M,Seda,Femenino,98.1,3,Socorro Ponce Ramis,Efectivo,2023-10-26,0,Alta,294.3
66,Tommy Hilfiger,Pantalón corto,Amarillo,XL,Algodón,Unisex,39.22,2,Luz Ruano Revilla,Divisas,2023-04-02,10,Alta,70.6
67,Stradivarius,Pantalón de vestir,Rosado,XS,Sintético,Femenino,31.6,2,María Carmen Ibáñez Rios,Pago móvil,2023-03-11,0,Baja,63.2
68,H&M,Pantalón corto,Gris,XL,Mezclilla,Femenino,115.23,1,Darío Botella Benitez,Tarjeta,2023-03-27,0,Alta,115.23
69,Nike,Jeans,Beige,XL,Algodón,Masculino,8.99,3,Nazaret Valverde,Pago móvil,2023-08-29,0,Media,26.97
70,Mango,Jeans,Rosado,M,Mezclilla,Masculino,119.76,2,Modesta Alemán,Pago móvil,2023-07-12,0,Media,239.52
71,H&M,Leggins,Amarillo,L,Mezclilla,Femenino,83.8,2,Amelia Rivera,Transferencia,2023-02-03,0,Media,167.6
72,Levi's,Vestido,Morado,S,Lino,Masculino,100.79,2,Jose Miguel Arnau Torralba,Transferencia,2023-09-07,0,Media,201.58
73,Bershka,Vestido,Rojo,L,Seda,Femenino,41.0,2,César Seguí,Transferencia,2023-08-07,0,Media,82.0
74,Levi's,Falda,Negro,M,Lana,Femenino,9.6,2,Joel del Trillo,Tarjeta,2023-08-19,0,Premium,19.2
75,H&M,Mono,Verde,M,Sintético,Femenino,90.64,3,Agustina Jódar Piñol,Pago móvil,2023-01-22,20,Media,217.54
76,Tommy Hilfiger,Pantalón corto,Negro,M,Mezclilla,Femenino,101.42,3,Espiridión Carnero-Osorio,Efectivo,2023-08-25,20,Alta,243.41
77,Mango,Blusa,Morado,XS,Lino,Masculino,90.93,3,Eugenio Aramburu Pujadas,Divisas,2023-03-05,0,Media,272.79
78,Mango,Chaqueta,Negro,L,Seda,Femenino,24.0,3,Tomás Jonatan Cordero Alvarado,Transferencia,2023-03-06,5,Media,68.4
